"";"Tipo";"pH";"Sulfatos";"Alcohol";"Tonalidad";"Calidad";"Precio"
"117";"Tinto";3,39;0,61;10;"Granate";6;3,51
"118";"Tinto";3,37;0,5;9,4;"Azulado";6;5,03
"119";"Tinto";3,21;0,6;10,9;"Granate";6;4,23
"120";"Tinto";3,34;0,54;9,2;"Azulado";6;3,57
"121";"Tinto";3,3;0,57;9;"Azulado";5;3,43
"122";"Tinto";3,21;0,6;10,9;"Granate";6;4,49
"123";"Tinto";3,49;0,52;9,2;"Azulado";5;2,68
"124";"Tinto";3,44;0,53;9,5;"Azulado";5;2,47
"125";"Tinto";3,39;0,48;9,5;"Azulado";5;2,87
"126";"Tinto";3,16;0,7;9,4;"Azulado";5;2,5
"127";"Tinto";3,53;0,49;10,9;"Granate";5;5,18
"128";"Tinto";3,54;0,48;10,9;"Granate";5;3,57
"129";"Tinto";3,42;0,92;10,5;"Granate";7;4,08
"130";"Tinto";3,42;0,57;9,4;"Azulado";5;2,53
"131";"Tinto";3,24;0,66;9,4;"Azulado";5;2,8
"134";"Tinto";3,4;0,58;9,8;"Azulado";6;3,68
"135";"Tinto";3,22;0,55;9,9;"Azulado";6;3,84
"136";"Tinto";3,19;0,82;9,6;"Azulado";5;3,49
"137";"Tinto";3,23;0,77;9,5;"Azulado";5;3,38
"138";"Tinto";3,48;0,64;9,2;"Azulado";5;3,28
"139";"Tinto";3,33;0,54;9,5;"Azulado";5;2,05
"140";"Tinto";3,32;0,54;9,5;"Azulado";5;3,08
"141";"Tinto";3,19;0,82;9,6;"Azulado";5;2,21
"142";"Tinto";3,23;0,77;9,5;"Azulado";5;2,62
"144";"Tinto";3,34;0,58;9,4;"Azulado";5;2,2
"146";"Tinto";3,17;0,62;9,4;"Azulado";5;2,75
"147";"Tinto";3,54;0,52;10;"Granate";5;5,3
"148";"Tinto";3,11;0,8;9,3;"Azulado";5;3,3
"149";"Tinto";3,42;0,58;10,2;"Granate";6;3,59
"150";"Tinto";3,53;0,61;10,5;"Granate";6;3,43
"151";"Tinto";3,33;0,53;10,3;"Granate";6;3,79
"152";"Tinto";2,74;2;9,4;"Azulado";4;3,42
"153";"Tinto";3,35;0,54;10,1;"Granate";5;5,04
"154";"Tinto";3,35;0,54;10,1;"Granate";5;3,63
"155";"Tinto";3,42;0,72;10,5;"Granate";5;4,22
"156";"Tinto";3,42;0,71;10,5;"Granate";5;4,46
"157";"Tinto";3,42;0,72;10,5;"Granate";5;5,38
"158";"Tinto";3,42;0,71;10,5;"Granate";5;4,59
"159";"Tinto";3,48;0,5;9,3;"Azulado";5;2,45
"160";"Tinto";3,59;0,57;9,3;"Azulado";6;3,8
"161";"Tinto";3,2;0,56;9,6;"Azulado";5;2
"162";"Tinto";3,17;1,08;9,2;"Azulado";4;2,95
"163";"Tinto";3,33;0,56;10;"Granate";6;4,53
"164";"Tinto";3,37;0,49;9,4;"Azulado";5;3,34
"165";"Tinto";3,37;0,49;9,4;"Azulado";5;2,55
"166";"Tinto";3,19;0,62;9,5;"Azulado";5;3,18
"167";"Tinto";3,34;0,52;10,2;"Granate";5;5,24
"168";"Tinto";3,37;0,48;9;"Azulado";4;2,46
"169";"Tinto";3,47;0,55;10,4;"Granate";6;3,94
"170";"Tinto";3;1,59;9,5;"Azulado";5;2,37
"171";"Tinto";3,36;0,33;9,1;"Azulado";4;3,47
"172";"Tinto";3,29;0,61;9,2;"Azulado";6;5,17
"173";"Tinto";3,29;0,61;9,2;"Azulado";6;5,35
"174";"Tinto";3,42;0,57;11,5;"Rojo";6;4,66
"175";"Tinto";3,33;0,47;9,5;"Azulado";5;2,83
"176";"Tinto";3,35;0,78;9,5;"Azulado";5;3,22
"177";"Tinto";3,33;0,47;9,5;"Azulado";5;2,88
"178";"Tinto";3,58;0,61;10,5;"Granate";6;4,12
"179";"Tinto";3,48;0,56;9,6;"Azulado";5;3,06
"180";"Tinto";3,19;0,59;9,5;"Azulado";5;3,2
"181";"Tinto";3,19;0,59;9,5;"Azulado";5;3,02
"182";"Tinto";3,12;1,02;9,3;"Azulado";5;2,09
"183";"Tinto";3,44;0,52;9,3;"Azulado";5;2,93
"184";"Tinto";3,54;0,58;9,3;"Azulado";5;2,32
"185";"Tinto";3,52;0,58;9,3;"Azulado";6;3,36
"186";"Tinto";3,26;0,53;9,7;"Azulado";5;2,1
"187";"Tinto";3,34;0,55;9,2;"Azulado";5;2,69
"188";"Tinto";3,39;0,49;9,7;"Azulado";5;2,46
"189";"Tinto";3,2;0,55;9,5;"Azulado";5;2,33
"190";"Tinto";3,2;0,55;9,5;"Azulado";5;3,34
"191";"Tinto";3,23;0,62;9,4;"Azulado";5;2,43
"192";"Tinto";3,57;0,62;9,8;"Azulado";6;4,98
"193";"Tinto";3,28;0,61;9,5;"Azulado";5;2,82
"194";"Tinto";3,28;0,55;9,7;"Azulado";5;2,67
"195";"Tinto";3,28;0,55;9,7;"Azulado";5;2,85
"196";"Tinto";3,25;0,54;9,4;"Azulado";5;2,81
"197";"Tinto";3,46;0,59;10,2;"Granate";5;3,83
"198";"Tinto";3,11;0,97;10,1;"Granate";6;5,17
"200";"Tinto";3,51;0,43;11,4;"Rojo";4;2
"201";"Tinto";3,22;0,82;10,3;"Granate";7;5,31
"202";"Tinto";3,04;1,03;9,3;"Azulado";5;2,34
"203";"Tinto";3,36;0,79;9,5;"Azulado";5;3,4
"204";"Tinto";3,34;0,55;9,2;"Azulado";5;2,25
"205";"Tinto";3,34;0,56;9,2;"Azulado";6;3
"206";"Tinto";3,2;0,77;10,8;"Granate";7;4,86
"207";"Tinto";3,2;0,77;10,8;"Granate";7;4,52
"208";"Tinto";3,29;0,53;9,3;"Azulado";5;2,47
"209";"Tinto";3,22;0,67;9,4;"Azulado";5;2,06
"210";"Tinto";3,31;0,88;10,5;"Granate";7;5,26
"212";"Tinto";3,35;0,56;10;"Granate";6;4,23
"213";"Tinto";3,21;0,67;10,2;"Granate";6;4,59
"214";"Tinto";3,3;0,43;10,1;"Granate";5;4,62
"215";"Tinto";3,24;0,71;9,8;"Azulado";6;4,77
"216";"Tinto";3,34;0,76;10,5;"Granate";5;4,55
"217";"Tinto";3,14;0,57;11;"Rojo";5;4,49
"218";"Tinto";3,36;0,55;9,1;"Azulado";5;2,13
"219";"Tinto";3,39;0,54;9,7;"Azulado";5;2,41
"220";"Tinto";3,3;0,6;9,5;"Azulado";5;2,6
"221";"Tinto";3,34;0,59;9,4;"Azulado";6;4,12
"222";"Tinto";3,15;0,57;9,4;"Azulado";5;3,21
"223";"Tinto";3,42;0,6;9,5;"Azulado";5;2,77
"224";"Tinto";3,28;0,6;10;"Granate";6;4,63
"225";"Tinto";3,31;0,57;10,4;"Granate";4;2,35
"226";"Tinto";3,37;0,58;10,5;"Granate";6;3,77
"227";"Tinto";3,04;1,61;9,5;"Azulado";6;5,35
"228";"Tinto";3,39;0,63;9,8;"Azulado";5;3
"229";"Tinto";3,37;0,58;10,5;"Granate";6;4,33
"230";"Tinto";3,46;0,5;11;"Rojo";5;4,29
"232";"Tinto";3,37;0,52;9,9;"Azulado";6;3,78
"233";"Tinto";3,34;0,7;9,6;"Azulado";6;3,01
"234";"Tinto";3,46;0,5;11;"Rojo";5;4,09
"235";"Tinto";3,32;0,55;9;"Azulado";6;4,36
"236";"Tinto";3,37;0,58;9;"Azulado";6;4,04
"237";"Tinto";3,37;0,58;9;"Azulado";6;4,11
"238";"Tinto";3,37;0,58;9,2;"Azulado";6;4,96
"239";"Tinto";3,37;0,58;9;"Azulado";6;4,8
"240";"Tinto";3,32;0,55;9;"Azulado";6;3,25
"241";"Tinto";3;1,09;9,3;"Azulado";5;2,27
"242";"Tinto";3,14;0,71;10,9;"Granate";6;4,61
"243";"Tinto";3,08;0,49;9,8;"Azulado";6;4,39
"244";"Tinto";3,07;0,84;9,2;"Azulado";7;4,33
"245";"Tinto";3,07;0,84;9,2;"Azulado";7;5,01
"246";"Tinto";3,61;0,96;9,9;"Azulado";6;4,59
"247";"Tinto";3,38;0,52;9,5;"Azulado";5;2,88
"248";"Tinto";3,2;0,45;9,3;"Azulado";5;2,87
"249";"Tinto";3,35;0,48;9,8;"Azulado";6;3,87
"250";"Tinto";3,61;0,96;9,9;"Azulado";6;3,6
"251";"Tinto";3,22;0,78;10;"Granate";6;4,44
"252";"Tinto";3,47;0,7;9,9;"Azulado";6;4,11
"253";"Tinto";3,17;0,53;10,5;"Granate";5;3,58
"254";"Tinto";3,23;0,59;9,5;"Azulado";5;3,37
"255";"Tinto";3,47;0,7;9,9;"Azulado";6;4,31
"256";"Tinto";3,26;0,57;9,3;"Azulado";5;3,27
"257";"Tinto";3,22;0,62;9,2;"Azulado";5;2,19
"258";"Tinto";3,49;0,67;9,2;"Azulado";5;3,49
"259";"Tinto";3,06;1,26;9,4;"Azulado";5;3,13
"260";"Tinto";3,36;0,8;10,5;"Granate";7;4,82
"261";"Tinto";3,29;0,65;9,3;"Azulado";5;2,35
"262";"Tinto";3,35;0,6;9,4;"Azulado";4;3,19
"263";"Tinto";3,34;0,57;10;"Granate";5;4,33
"264";"Tinto";3,28;0,67;9,3;"Azulado";5;2,67
"265";"Tinto";3,08;0,87;10,9;"Granate";5;5,24
"266";"Tinto";3,2;0,72;10,2;"Granate";7;5,71
"267";"Tinto";3,6;0,72;9,8;"Azulado";4;2,5
"269";"Tinto";3,69;0,91;9,4;"Azulado";6;3,93
"270";"Tinto";3,28;0,97;10,1;"Granate";6;4,72
"271";"Tinto";3,36;0,67;10,7;"Granate";6;3,53
"272";"Tinto";3,28;0,97;10,1;"Granate";6;4,58
"273";"Tinto";3,22;0,78;10,1;"Granate";5;3,34
"274";"Tinto";3,31;0,64;9,4;"Azulado";5;2,32
"275";"Tinto";3,38;0,77;9,4;"Azulado";5;2,27
"276";"Tinto";3,36;0,67;10,7;"Granate";6;3,98
"277";"Tinto";3,69;0,91;9,4;"Azulado";6;4,51
"278";"Tinto";3,28;0,97;10,1;"Granate";6;5,21
"280";"Tinto";3,38;0,77;10,5;"Granate";7;5,81
"281";"Tinto";3,12;0,82;9,3;"Azulado";6;3,03
"282";"Tinto";3,25;1,08;9,9;"Azulado";7;5,32
"283";"Tinto";3,36;0,57;9,1;"Azulado";5;2,64
"284";"Tinto";3,38;0,77;10,5;"Granate";7;4,81
"285";"Tinto";3,31;0,71;9,8;"Azulado";5;3,21
"286";"Tinto";3,31;0,71;9,8;"Azulado";5;2,15
"287";"Tinto";3,1;0,76;10,3;"Granate";6;4,53
"288";"Tinto";3,37;0,7;10,3;"Granate";6;4,82
"289";"Tinto";3,34;0,86;10,6;"Granate";7;5,61
"290";"Tinto";3,2;0,95;9,2;"Azulado";5;3,11
"291";"Tinto";3,34;0,86;10,6;"Granate";7;4,2
"292";"Tinto";3,3;0,71;10,5;"Granate";5;5,14
"293";"Tinto";3,22;0,64;10,3;"Granate";6;3,31
"294";"Tinto";3,41;0,6;10,1;"Granate";6;3,26
"295";"Tinto";3,05;0,81;9,5;"Azulado";6;4,56
"296";"Tinto";3,05;0,64;9,5;"Azulado";5;3,25
"297";"Tinto";3,16;0,52;9,9;"Azulado";5;3,37
"298";"Tinto";3,67;0,73;9,6;"Azulado";5;3,48
"299";"Tinto";3,67;0,8;9,7;"Azulado";5;3,06
"300";"Tinto";3,68;0,71;9,6;"Azulado";5;3,06
"301";"Tinto";3,38;0,59;10,7;"Granate";6;4,09
"302";"Tinto";3,22;0,64;10,1;"Granate";6;3,07
"303";"Tinto";3,51;0,72;10;"Granate";5;4,25
"304";"Tinto";3,39;0,54;9,5;"Azulado";5;3,21
"305";"Tinto";3,2;0,52;9,2;"Azulado";5;2,53
"306";"Tinto";3,12;0,59;9,3;"Azulado";6;3,7
"307";"Tinto";3,36;0,52;9,4;"Azulado";5;2,75
"308";"Tinto";3,19;0,62;9,5;"Azulado";6;4,89
"309";"Tinto";3,19;0,63;9,5;"Azulado";6;3,28
"310";"Tinto";3,41;0,53;9,5;"Azulado";6;3,24
"311";"Tinto";3,12;0,59;9,3;"Azulado";6;5,29
"312";"Tinto";3,27;0,54;9,4;"Azulado";6;5,01
"313";"Tinto";3,32;0,63;9,5;"Azulado";6;3,1
"314";"Tinto";3,3;0,53;9,4;"Azulado";5;3,15
"315";"Tinto";3,39;0,68;11;"Rojo";5;4,84
"316";"Tinto";3,42;0,65;11;"Rojo";6;5,17
"317";"Tinto";3,3;0,65;10,1;"Granate";5;4,71
"318";"Tinto";3,3;0,64;10,4;"Granate";6;4,23
"319";"Tinto";3,37;0,71;11,5;"Rojo";7;6,85
"320";"Tinto";3,3;0,64;10,4;"Granate";6;4,91
"321";"Tinto";3,37;0,71;11,5;"Rojo";7;6,88
"322";"Tinto";3,24;0,62;9,7;"Azulado";5;2,8
"323";"Tinto";3,29;0,63;9,3;"Azulado";5;2,5
"324";"Tinto";3,28;0,7;9,5;"Azulado";6;4,19
"325";"Tinto";3,16;0,69;9,2;"Azulado";6;5,05
"326";"Tinto";3,16;0,69;9,2;"Azulado";6;4,93
"327";"Tinto";3,05;0,74;11,5;"Rojo";7;5,76
"328";"Tinto";3,28;0,83;11,5;"Rojo";5;5,3
"329";"Tinto";3,16;0,67;9,7;"Azulado";6;3,87
"330";"Tinto";3,18;0,62;9,5;"Azulado";5;2,4
"333";"Tinto";3,22;0,54;9,4;"Azulado";6;5,1
"334";"Tinto";3,13;0,52;11;"Rojo";5;4
"335";"Tinto";3,34;0,74;11,7;"Rojo";7;6,96
"338";"Tinto";3,31;0,64;10,3;"Granate";5;4,97
"339";"Tinto";3,16;1;11,5;"Rojo";6;4,3
"340";"Tinto";3,11;1,36;9,8;"Azulado";7;4,47
"341";"Tinto";3,12;1,18;9,2;"Azulado";6;5
"342";"Tinto";3,21;0,87;11,3;"Rojo";6;5,63
"343";"Tinto";3,3;0,75;9,8;"Azulado";6;4,84
"344";"Tinto";3,3;0,75;9,8;"Azulado";6;3,32
"345";"Tinto";3,12;0,78;10,7;"Granate";6;4,45
"346";"Tinto";3,6;0,81;9,9;"Azulado";5;2,17
"349";"Tinto";3,11;0,92;10;"Granate";6;3,79
"350";"Tinto";3,36;0,86;9,4;"Azulado";6;3,58
"351";"Tinto";3,28;0,98;9,9;"Azulado";6;3,14
"352";"Tinto";3,35;0,83;9,4;"Azulado";6;3,76
"353";"Tinto";3,27;0,73;9,3;"Azulado";5;2,65
"355";"Tinto";3,25;0,59;11,9;"Rojo";6;5,38
"357";"Tinto";3,26;0,88;11;"Rojo";5;3,72
"358";"Tinto";3,24;0,75;11,7;"Rojo";7;6,37
"359";"Tinto";3,15;0,85;10,4;"Granate";7;4,03
"360";"Tinto";3,17;0,68;9,8;"Azulado";6;3,87
"361";"Tinto";3,19;0,7;9,4;"Azulado";5;3,5
"362";"Tinto";3,37;0,91;9,9;"Azulado";6;3,81
"363";"Tinto";3,05;0,56;10;"Granate";5;4,02
"364";"Tinto";2,99;0,87;10,2;"Granate";5;3,76
"365";"Tinto";3,07;0,73;10;"Granate";7;4,79
"366";"Tinto";3,26;0,93;11,8;"Rojo";6;5,61
"367";"Tinto";3,07;0,73;10;"Granate";7;5,42
"368";"Tinto";3,16;0,69;9;"Azulado";5;2,14
"369";"Tinto";3,18;0,64;9,4;"Azulado";5;3,35
"371";"Tinto";3,57;0,78;9,9;"Azulado";5;2,75
"372";"Tinto";3,32;0,87;8,7;"Azulado";6;4,42
"373";"Tinto";3,32;1,04;10,6;"Granate";6;3,56
"374";"Tinto";3,05;0,63;9,2;"Azulado";5;2,97
"375";"Tinto";3,01;0,81;10,8;"Granate";6;4,42
"376";"Tinto";3,01;0,83;11,8;"Rojo";7;6,48
"377";"Tinto";3,26;1,11;11;"Rojo";6;5,16
"380";"Tinto";3,31;0,7;10,8;"Granate";6;5,31
"381";"Tinto";3,21;0,8;9,4;"Azulado";6;4,61
"382";"Tinto";3,06;0,8;10;"Granate";6;3,09
"383";"Tinto";3,21;0,8;9,4;"Azulado";6;4,09
"384";"Tinto";3,21;0,8;9,4;"Azulado";6;3,77
"385";"Tinto";3,42;0,74;9,2;"Azulado";5;3,45
"386";"Tinto";3,43;0,76;9,7;"Azulado";6;5,35
"387";"Tinto";3,41;0,74;9,2;"Azulado";6;4,09
"388";"Tinto";3,31;0,54;9,6;"Azulado";6;4,42
"389";"Tinto";3,43;0,74;9,2;"Azulado";6;4,75
"390";"Tinto";3,19;0,7;10;"Granate";7;4,53
"392";"Tinto";3,06;0,8;10;"Granate";6;4,45
"393";"Tinto";3,18;0,51;9,5;"Azulado";5;2,23
"394";"Tinto";3,16;0,54;9,1;"Azulado";5;2,35
"395";"Tinto";3,03;0,57;9,9;"Azulado";5;3,17
"397";"Tinto";3,47;0,53;9,9;"Azulado";5;3,16
"398";"Tinto";3,18;0,65;11;"Rojo";6;5,1
"399";"Tinto";3,18;0,65;11;"Rojo";6;4,16
"400";"Tinto";3,1;0,55;9,4;"Azulado";5;3,43
"401";"Tinto";3,47;0,53;9,9;"Azulado";5;2,66
"402";"Tinto";3,29;0,47;10,8;"Granate";6;4,79
"403";"Tinto";3,1;0,61;10,5;"Granate";6;3,89
"404";"Tinto";3,15;0,63;10,5;"Granate";6;3,31
"405";"Tinto";3,26;0,61;9,1;"Azulado";5;3,07
"406";"Tinto";3,36;0,76;10,1;"Granate";6;4,81
"407";"Tinto";3,24;0,65;10,8;"Granate";6;4,47
"408";"Tinto";3,18;0,63;10,8;"Granate";7;4,85
"409";"Tinto";3,19;0,7;11,3;"Rojo";6;5,16
"410";"Tinto";3,05;0,57;9,6;"Azulado";4;2,6
"411";"Tinto";3,38;0,62;9,5;"Azulado";6;4,22
"412";"Tinto";3,38;0,62;9,5;"Azulado";5;2,08
"413";"Tinto";3,27;0,64;9,3;"Azulado";5;2,74
"414";"Tinto";3,27;0,82;11,7;"Rojo";7;5,21
"415";"Tinto";3,26;0,61;9,5;"Azulado";5;2,39
"416";"Tinto";3,32;1,07;9,3;"Azulado";5;3,01
"417";"Tinto";3,26;0,66;11,7;"Rojo";6;5,96
"418";"Tinto";3,44;0,48;10,5;"Granate";5;3,7
"419";"Tinto";3,24;0,76;10,4;"Granate";6;4
"420";"Tinto";3,62;0,68;9,9;"Azulado";5;2,7
"421";"Tinto";3,28;0,73;11,8;"Rojo";7;6,56
"423";"Tinto";3,36;0,44;10,9;"Granate";5;4,81
"424";"Tinto";3,15;0,9;11;"Rojo";7;4,36
"425";"Tinto";3,36;0,44;10,9;"Granate";5;3,81
"427";"Tinto";3,49;0,49;11,4;"Rojo";6;5,67
"428";"Tinto";3,26;0,56;10,6;"Granate";6;5,02
"429";"Tinto";3,24;0,6;9,3;"Azulado";5;2,29
"430";"Tinto";3,1;0,6;10,4;"Granate";6;4,64
"431";"Tinto";3,15;0,9;11;"Rojo";7;5,02
"432";"Tinto";3,25;0,56;9,2;"Azulado";5;2,16
"434";"Tinto";3,16;0,49;9,5;"Azulado";5;2,98
"435";"Tinto";3,15;0,89;9,9;"Azulado";6;5,18
"436";"Tinto";3,16;0,49;9,5;"Azulado";5;2,99
"437";"Tinto";3,26;0,56;10,2;"Granate";6;3,61
"438";"Tinto";3,17;0,66;11,2;"Rojo";6;4,96
"439";"Tinto";3,15;0,89;9,9;"Azulado";6;3,31
"440";"Tinto";3,08;0,6;9,3;"Azulado";5;3,39
"441";"Tinto";2,88;0,82;9,8;"Azulado";8;4,52
"442";"Tinto";3,06;0,68;11,3;"Rojo";6;4,35
"443";"Tinto";2,95;0,68;11,2;"Rojo";7;5,68
"444";"Tinto";3,23;0,63;11,6;"Rojo";7;5,33
"446";"Tinto";3,23;0,56;10,1;"Granate";6;5,49
"447";"Tinto";3,1;0,73;10,5;"Granate";5;4,62
"448";"Tinto";3,22;0,72;11,2;"Rojo";5;3,96
"449";"Tinto";3,2;0,56;10,2;"Granate";6;3,29
"450";"Tinto";3,1;0,61;10,8;"Granate";6;4,37
"451";"Tinto";3,1;0,61;10,8;"Granate";6;5,67
"452";"Tinto";3,06;1,06;9,1;"Azulado";6;4,95
"453";"Tinto";3,44;0,63;10;"Granate";6;4,16
"454";"Tinto";3,26;0,74;11,2;"Rojo";7;5,25
"455";"Tinto";3,5;0,63;11,1;"Rojo";5;4,68
"457";"Tinto";3,37;0,58;10,3;"Granate";5;3,26
